date:2023/04/24 time:10:16:15 [main] INFO  com.learn.events.listener.VivekListener - Vivek: playing BBT: ep-001
date:2023/04/24 time:10:16:15 [main] INFO  com.learn.events.publisher.ZeeCafePublisher - streamDemonSlayer => streaming demon slayer: ep-001
date:2023/04/24 time:10:20:44 [main] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanInitializationException: Failed to process @EventListener annotation on bean with name 'anupListener'; nested exception is java.lang.IllegalStateException: Maximum one parameter is allowed for event listener method: public void com.learn.events.listener.AnupListener.onApplicationEvent(com.learn.events.custom_events.TheBigBangTheoryEvent,com.learn.events.custom_events.DemonSlayerEvent)
date:2023/04/24 time:10:22:25 [main] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanInitializationException: Failed to process @EventListener annotation on bean with name 'anupListener'; nested exception is java.lang.IllegalStateException: Maximum one parameter is allowed for event listener method: public void com.learn.events.listener.AnupListener.onApplicationEvent(com.learn.events.custom_events.TheBigBangTheoryEvent,com.learn.events.custom_events.DemonSlayerEvent)
date:2023/04/24 time:10:29:44 [main] INFO  com.learn.events.publisher.ZeeCafePublisher - streamBigBangTheory => streaming big bang theory: ep-001
date:2023/04/24 time:10:29:44 [main] INFO  com.learn.events.listener.AnupListener - Anup: started watching BBT
date:2023/04/24 time:10:29:44 [main] INFO  com.learn.events.listener.AnupListener - Anup: playing BBT: ep-001
date:2023/04/24 time:10:29:44 [main] INFO  com.learn.events.listener.VishalListener - Vishal: started watching BBT
date:2023/04/24 time:10:29:44 [main] INFO  com.learn.events.listener.VishalListener - Vishal: playing BBT: ep-001
date:2023/04/24 time:10:29:44 [main] INFO  com.learn.events.listener.VivekListener - Vivek: started watching BBT
date:2023/04/24 time:10:29:44 [main] INFO  com.learn.events.listener.VivekListener - Vivek: playing BBT: ep-001
date:2023/04/24 time:10:29:44 [main] INFO  com.learn.events.publisher.ZeeCafePublisher - streamDemonSlayer => streaming demon slayer: ep-001
date:2023/04/24 time:10:29:44 [main] INFO  com.learn.events.listener.AnupListener - Anup: started watching BBT
date:2023/04/24 time:10:29:44 [main] INFO  com.learn.events.listener.AnupListener - Anup: playing BBT: ep-001
date:2023/04/24 time:10:29:44 [main] INFO  com.learn.events.listener.VivekListener - Vivek: started watching BBT
date:2023/04/24 time:10:29:44 [main] INFO  com.learn.events.listener.VivekListener - Vivek: playing BBT: ep-001
